position_id,chain,protocol,wallet,position_label,category,position_type,token_symbol,token_contract,balance_human,price_usd,price_source,value_usd,block_number,block_timestamp_utc,notes,run_timestamp_cet
plasma_midas_0x805599_mHYPER_A2_oracle_priced,plasma,midas,0x80559941c1a741bc435cb6782b6f161d5772ac4b,Midas Hyperithm,A2,oracle_priced,mHYPER,0xb31BeA5c2a43f942a3800558B1aa25978da75F8a,9.468679443019058767,1.08668628,chainlink,10.28948404044685294061261676,17697619,27/03/2026 16:38:02,,27/03/2026 17:37:39
katana_yearn_0x669100_vbusdc_vault_A1_vault_share,katana,yearn,0x6691005cd97656d488b72594c42cae987264e0e7,Yearn V3 vbUSDC,A1,vault_share,vbusdc_vault,0x80c34BD3A3569E126e7055831036aa7b212cB159,50.8011,1,par,50.8011,27886672,27/03/2026 16:38:03,,27/03/2026 17:37:39
solana_kamino_ASQ4kYjS_USCC_D_collateral,solana,kamino,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Kamino Superstate Opening Bell,D,collateral,USCC,,737993.935158,11.52481800,pyth,8505245.78779975124400,401108292,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_kamino_ASQ4kYjS_USDC_D_debt,solana,kamino,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Kamino Superstate Opening Bell,D,debt,USDC,,-6781179.399293046983672742108,1,par,-6781179.399293046983672742108,401108292,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_kamino_ASQ4kYjS_PT-USX-01JUN26_D_collateral,solana,kamino,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Kamino Solstice,D,collateral,PT-USX-01JUN26,,1802168.47245,0,pt_collateral_see_B_lots,0,405686272,27/03/2026 16:38:06,PT collateral priced via Category B lot methodology,27/03/2026 17:37:39
solana_kamino_ASQ4kYjS_PT-eUSX-01JUN26_D_collateral,solana,kamino,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Kamino Solstice,D,collateral,PT-eUSX-01JUN26,,77839.861427,0,pt_collateral_see_B_lots,0,405686272,27/03/2026 16:38:06,PT collateral priced via Category B lot methodology,27/03/2026 17:37:39
solana_kamino_ASQ4kYjS_USX_D_debt,solana,kamino,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Kamino Solstice,D,debt,USX,,-1346462.939833268609800735635,1.00568401,pyth,-1354116.248647910306911529114,405686272,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_ONyc_C_lp_constituent,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Exponent ONyc-13MAY26 LP,C,lp_constituent,ONyc,,1059251.712109626,1.08832162,pyth,1152806.53931092178591412,,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_PT-ONyc-13MAY26_C_lp_constituent,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Exponent ONyc-13MAY26 LP,C,lp_constituent,PT-ONyc-13MAY26,,714590.353072522,1.071418131539875893768032,exponent_amm_rate (pt_ratio=0.984468),765625.0609053817342394233666,,27/03/2026 16:38:06,,27/03/2026 17:37:39
solana_exponent_ASQ4kYjS_eUSX_C_lp_constituent,solana,exponent,ASQ4kYjSYGUYbbYtsaLhUeJS6RtrN4Uwp4XbF4gDifvr,Exponent eUSX-01JUN26 LP,C,lp_constituent,eUSX,,194436.814518,1.033104566884524308942597786,a1_exchange_rate (rate=1.027266) x pyth,200873.5610490249781825340144,,27/03/2026 16:38:06,,27/03/2026 17:37:39
